user_id,username,age,gender,height,weight
1,Chelsea,29,Male,158,90kg
2,Ailey,50,Male,152,67kg
3,Marietta,46,Male,163,25kg
4,Olivier,14,Male,175,45kg
5,Nathanael,16,Male,163,45kg
6,Gillie,13,Female,158,30kg
7,Ibby,32,Female,177,67kg
8,Nikolos,16,Male,168,52kg
9,Jaclin,16,Male,163,34kg
10,Elberta,16,Female,152,40kg
11,Mireille,28,Female,185,34kg
12,Goober,29,Male,152,105kg
13,Cecil,14,Female,175,34kg
14,Stanford,16,Male,165,67kg
15,Bron,14,Female,158,67kg
16,Phip,32,Male,180,67kg
17,Stanislas,13,Female,175,89kg
18,Klarrisa,28,Male,175,30kg
19,Ermina,28,Female,152,55kg
20,Karine,13,Male,152,25kg
21,Willa,18,Male,175,25kg
22,Thorin,40,Male,152,25kg
23,Clyde,46,Female,185,89kg
24,Travis,25,Female,175,90kg
25,Joanne,20,Male,168,25kg
26,Eberto,40,Female,168,34kg
27,Donetta,50,Male,180,89kg
28,Deedee,18,Male,180,105kg
29,Jermaine,28,Male,165,40kg
30,Jamal,17,Female,163,52kg
31,Derk,15,Male,158,89kg
32,Ashia,45,Male,152,67kg
33,Roxi,46,Female,175,52kg
34,Glenden,22,Female,175,90kg
35,Cathlene,22,Male,185,30kg
36,Sallie,45,Male,163,45kg
37,Anni,37,Female,165,34kg
38,Stanford,17,Female,180,34kg
39,Pieter,29,Male,170,40kg
40,Nyssa,40,Female,168,52kg
41,Charlton,50,Male,163,105kg
42,Kinnie,16,Female,152,89kg
43,Berta,45,Male,170,55kg
44,Abbott,29,Female,175,90kg
45,Ashly,20,Female,175,90kg
46,Emmie,17,Male,152,25kg
47,Warde,25,Male,168,67kg
48,Darsey,13,Female,152,34kg
49,Georgiana,14,Male,163,30kg
50,Richmound,13,Male,152,34kg
